"Serial_Number","Schedule_Number","Depot_Code"
"1203","600F","32"
"1204","G-3","32"
"1205","G-3","32"
"1206","328H","32"
"1207","G-3","32"
"1208","352","32"
"1209","399B","32"
"1210","KBS-3A","32"
"1211","KBS-3A","32"
"1212","KBS-3A","32"
"1213","KBS-3A","32"
"1214","KBS-3A","32"
"1215","KBS-3A","32"
"1216","KBS-3A4","32"
"1217","KBS-3A6","32"
"1218","KBS-3A0","32"
"1219","KBS-3C","32"
"1220","KBS-3C","32"
"1221","500H","32"
"1222","500H","32"
"1223","500H","32"
"1224","KBS-3C","32"
"1225","KBS-3C","32"
"1226","500DC","32"
"1227","354B","32"
"1228","351H","32"
"1229","399C","32"
"1230","507","22"
"1231","507PS","22"
"1232","248J","22"
"1233","410-PS","22"
"1234","410PS","22"
"1235","246A","22"
"1236","248-F","22"
"1237","248","22"
"1238","248","22"
"1239","251C","22"
"1240","251E","22"
"1241","248F","22"
"1242","248AB","22"
"1243","252A","22"
"1244","252F","22"
"1245","251E","22"
"1246","252F","22"
"1247","398B","32"
"1248","314E","29"
"1249","265A","22"
"1250","273F","22"
"1251","255H","22"
"1252","275A","22"
"1253","258C","22"
"1254","273C","22"
"1255","269B","22"
"1256","252H83","22"
"1257","271A","22"
"1258","252FB","22"
"1259","250D","22"
"1260","263A","22"
"1261","271B","22"
"1262","252F","22"
"1263","265","22"
"1264","264A","22"
"1265","265","22"
"1266","265","22"
"1267","270A","22"
"1268","250P","22"
"1269","252F","22"
"1270","250R","22"
"1271","360P","32"
"1272","250V","22"
"1273","265","22"
"1274","270","22"
"1275","265","22"
"1276","267","22"
"1277","265A","22"
"1278","265A","22"
"1279","250Z","22"
"1280","265D","22"
"1281","251E","22"
"1282","251E","22"
"1283","252A","22"
"1284","253J","22"
"1285","253K","22"
"1286","252A","22"
"1287","253HC","22"
"1288","252A","22"
"1289","252E","22"
"1290","253K","22"
"1291","252E","22"
"1292","254A","22"
"1293","271A","22"
"1294","273","22"
"1295","273","22"
"1296","410PS","22"
"1297","252E","22"
"1298","253F","22"
"1299","252H","22"
"1300","254B","22"
"1301","253V","22"
"1302","328HD","41"
"1303","328HD","41"
"1304","176CA","14"
"1305","258F","43"
"1306","263A","22"
"1307","263H","22"
"1308","361D","38"
"1309","264","22"
"1310","342 SH","38"
"1311","360","38"
"1312","323D","41"
"1313","284D","30"
"1314","401K1","11"
"1315","257G","43"
"1316","323H","41"
"1317","256MA","43"
"1318","258E","43"
"1319","342SH","38"
"1320","265","22"
"1321","114","14"
"1322","323M","41"
"1323","265","22"
"1324","265","22"
"1325","265","22"
"1326","265A","22"
"1327","265A","22"
"1328","402D","11"
"1329","265B","22"
"1330","328H","41"
"1331","266","22"
"1332","G-9","11"
"1333","401B","11"
"1334","401BA","11"
"1335","266E","22"
"1336","284D","30"
"1337","290E","30"
"1338","266F","22"
"1339","290E","30"
"1340","402C","30"
"1341","291K","30"
"1342","267A","22"
"1343","383C","39"
"1344","MKT-12HK","39"
"1345","285JE","30"
"1346","G-9","30"
"1347","MKT-12HK","39"
"1348","255AC","43"
"1349","273","22"
"1350","MKT-12HK","39"
"1351","273F","22"
"1352","256K","43"
"1353","258Y","43"
"1354","G-8","43"
"1355","G-8","43"
"1356","242TD","43"
"1357","273F","22"
"1358","401A","22"
"1359","410PS","22"
"1360","258WA","43"
"1361","502H","22"
"1362","258CB","43"
"1363","502H","22"
"1364","258VD","43"
"1365","256B","43"
"1366","502HE","22"
"1367","507","22"
"1368","KBS-3E","32"
"1369","600CA","32"
"1370","507","22"
"1371","507P","22"
"1372","3F-1","32"
"1373","3F-1","32"
"1374","258C","43"
"1375","3F-1","32"
"1376","258C","43"
"1377","302E","10"
"1378","258X","43"
"1379","406","43"
"1380","407","43"
"1381","BC-7","22"
"1382","BC-7B","22"
"1383","BC-8","22"
"1384","MBS-12","22"
"1385","303C","10"
"1386","296F","10"
"1387","347H","19"
"1388","G-3","19"
"1389","K-6","10"
"1390","TR-7","06"
"1391","238SA","22"
"1392","MF-5","06"
"1393","238SA","22"
"1394","250BA","22"
"1395","122","10"
"1396","K-6","10"
"1397","314A","29"
"1398","320A","29"
"1399","319F","29"
"1400","K-6","10"
"1401","131","06"
"1402","K-6","10"
"1403","500C","29"
"1404","258V","43"
"1405","KBS-12HK","29"
"1406","KBS-12HK","29"
"1407","286F","10"
"1408","415E","10"
"1409","245AA","22"
