Serial_Number,Schedule_Number,Depot_Code,Count,Depots
4075,252F,31,22,"22,22,22,22,22,22,9,9,9,9,9,9,35,31,31,31"
4078,252F,31,22,"22,22,22,22,22,22,9,9,9,9,9,9,35,31,31,31,31"
4081,252F,31,22,"22,22,22,22,22,22,9,9,9,9,9,9,35,31,31,31,31,31"
5665,252F,22,22,"22,22,22,22,22,22,9,9,9,9,9,9,35,31,31,31,31,31,22"
5668,252F,22,22,"22,22,22,22,22,22,9,9,9,9,9,9,35,31,31,31,31,31,22,22"
6513,252F,9,22,"22,22,22,22,22,22,9,9,9,9,9,9,35,31,31,31,31,31,22,22,9"
6522,252F,22,22,"22,22,22,22,22,22,9,9,9,9,9,9,35,31,31,31,31,31,22,22,9,22"
4781,252FA,16,1,16
1258,252FB,22,1,22
6500,252FC,22,1,22
3269,252G,26,1,26
4306,252GA,31,1,31
1299,252H,22,4,22
1700,252H,9,4,"22,9"
1711,252H,9,4,"22,9,9"
4315,252H,31,4,"22,9,9,31"
1256,252H83,22,1,22
1812,252L,9,1,9
1781,252N,9,1,9
2104,252PS,8,8,8
2106,252PS,8,8,"8,8"
2108,252PS,8,8,"8,8,8"
2111,252PS,8,8,"8,8,8,8"
2113,252PS,8,8,"8,8,8,8,8"
5680,252PS,22,8,"8,8,8,8,8,22"
5681,252PS,22,8,"8,8,8,8,8,22,22"
5686,252PS,22,8,"8,8,8,8,8,22,22,22"
1814,252R,9,1,9
1819,252RA,9,1,9
3681,253A,3,1,3
4456,253C,22,1,22
5564,253D,9,1,9
5801,253E,43,1,43
1298,253F,22,1,22
1756,253G,9,2,9
5615,253G,9,2,"9,9"
5973,253H,9,1,9
1180,253HA,22,1,22
1287,253HC,22,1,22
4801,253HE,26,1,26
1284,253J,22,5,22
1723,253J,9,5,"22,9"
1751,253J,9,5,"22,9,9"
2724,253J,8,5,"22,9,9,8"
5837,253J,22,5,"22,9,9,8,22"
1285,253K,22,3,22
1290,253K,22,3,"22,22"
1441,253K,22,3,"22,22,22"
312,253L,30,1,30
1801,253M,9,1,9
6342,253P,9,1,9
5614,253R,9,1,9
1301,253V,22,1,22
1840,253W,9,1,9
1292,254A,22,3,22
2264,254A,2,3,"22,2"
5605,254A,9,3,"22,2,9"
1300,254B,22,1,22
1805,254C,9,2,9
1813,254C,9,2,"9,9"
6530,254D,22,1,22
6027,254E,9,1,9
1014,255A,40,2,40
1107,255A,40,2,"40,40"
1348,255AC,43,1,43
1115,255B,40,1,40
1020,255C,40,1,40
1034,255E,40,3,40
1041,255E,40,3,"40,40"
3463,255E,26,3,"40,40,26"
1251,255H,22,1,22
1036,255J,40,1,40
1444,255KA,22,1,22
4540,255L,40,1,40
6511,255M,40,1,40
1118,255N,40,1,40
1365,256B,43,1,43
1837,256C,9,1,9
1058,256F,40,2,40
1061,256F,40,2,"40,40"
1352,256K,43,1,43
4810,256M,40,1,40
1317,256MA,43,1,43
5543,256MB,40,1,40
1763,257A,9,1,9
5609,257B,9,1,9
1500,257C,43,1,43
1064,257D,40,1,40
5624,257E,9,1,9
1315,257G,43,1,43
1126,257H,40,1,40
1074,258A,40,1,40
