route_no,time,time_hr,time_min,min
250A,01:00 Min,1,0,60
250AB,01:00 Min,1,0,60
250BA,01:00 Min,1,0,60
250CC,01:00 Min,1,0,60
250N,01:00 Min,1,0,60
250R,01:00 Min,1,0,60
250S,01:00 Min,1,0,60
250Y,01:00 Min,1,0,60
250Z,01:00 Min,1,0,60
251E,01:00 Min,1,0,60
252F,01:00 Min,1,0,60
252FA,01:00 Min,1,0,60
252K,01:00 Min,1,0,60
252L,01:00 Min,1,0,60
252R,01:00 Min,1,0,60
252RA,01:00 Min,1,0,60
252V,01:00 Min,1,0,60
253M,01:00 Min,1,0,60
257B,01:00 Min,1,0,60
257C,01:00 Min,1,0,60
258N,01:00 Min,1,0,60
263G,01:00 Min,1,0,60
263J,01:00 Min,1,0,60
266F,01:00 Min,1,0,60
269B,01:00 Min,1,0,60
270A,01:00 Min,1,0,60
270D,01:00 Min,1,0,60
272E,01:00 Min,1,0,60
273,01:00 Min,1,0,60
273C,01:00 Min,1,0,60
276A,01:00 Min,1,0,60
276E,01:00 Min,1,0,60
278E,01:00 Min,1,0,60
283E,01:00 Min,1,0,60
286E,01:00 Min,1,0,60
287M,01:00 Min,1,0,60
290Q,01:00 Min,1,0,60
291J,01:00 Min,1,0,60
292,01:00 Min,1,0,60
292B,01:00 Min,1,0,60
292C,01:00 Min,1,0,60
293C,01:00 Min,1,0,60
294,01:00 Min,1,0,60
294E,01:00 Min,1,0,60
295A,01:00 Min,1,0,60
297K,01:00 Min,1,0,60
300C,01:00 Min,1,0,60
305NT,01:00 Min,1,0,60
312,01:00 Min,1,0,60
313K,01:00 Min,1,0,60
313L,01:00 Min,1,0,60
313M,01:00 Min,1,0,60
314E,01:00 Min,1,0,60
314F,01:00 Min,1,0,60
314X,01:00 Min,1,0,60
315D,01:00 Min,1,0,60
315DN,01:00 Min,1,0,60
315L,01:00 Min,1,0,60
315U,01:00 Min,1,0,60
322E,01:00 Min,1,0,60
333D,01:00 Min,1,0,60
333Q,01:00 Min,1,0,60
336A,01:00 Min,1,0,60
340,01:00 Min,1,0,60
340A,01:00 Min,1,0,60
340F,01:00 Min,1,0,60
340K,01:00 Min,1,0,60
340S,01:00 Min,1,0,60
341E,01:00 Min,1,0,60
342C,01:00 Min,1,0,60
343M,01:00 Min,1,0,60
346B,01:00 Min,1,0,60
347,01:00 Min,1,0,60
347A,01:00 Min,1,0,60
347G,01:00 Min,1,0,60
347M,01:00 Min,1,0,60
348H,01:00 Min,1,0,60
353B,01:00 Min,1,0,60
362,01:00 Min,1,0,60
362C,01:00 Min,1,0,60
364A,01:00 Min,1,0,60
364B,01:00 Min,1,0,60
364G,01:00 Min,1,0,60
367C,01:00 Min,1,0,60
367D,01:00 Min,1,0,60
368F,01:00 Min,1,0,60
374K,01:00 Min,1,0,60
375,01:00 Min,1,0,60
375D,01:00 Min,1,0,60
401AB,01:00 Min,1,0,60
401BA,01:00 Min,1,0,60
401RE,01:00 Min,1,0,60
402A,01:00 Min,1,0,60
402B,01:00 Min,1,0,60
403A,01:00 Min,1,0,60
404C,01:00 Min,1,0,60
404E,01:00 Min,1,0,60
410A,01:00 Min,1,0,60
410G,01:00 Min,1,0,60
411A,01:00 Min,1,0,60
500Q,01:00 Min,1,0,60
501F,01:00 Min,1,0,60
502F,01:00 Min,1,0,60
504B,01:00 Min,1,0,60
FDR-2,01:05 Min,1,5,65
TR-6,01:05 Min,1,5,65
