busstop,trips
"Vajrakatte Palya,IN FRONT OF MILK DAIRY","4"
"Varadenhalli Hand Post","4"
"Vasantanagar","4"
"Veeregowdana Doddi,VEEREGOWDANA DODDI,OPPOSITE OF GOVERNMENT SCHOOL","4"
"Vidyanagara Devanahalli Road,VIDYA NAGARA,IN FRONT OF JAYAPRAKASH NARAYANA NATIONAL YOUTH CENTER","4"
"Vijaya School","4"
"Vinayaka Nagara,VINAYAKA NAGARA,BESIDE SRI MAHADESHWARA ENTERPRISES","4"
"Vishwanathapura Byrapura,ADDE VISHWANATHAPURA,BESIDE MILK DAIRY","4"
"Wonderla Gate,MANCHANAYAKANA HALLI,OPPOSITE OF MANDARATHI FOOD LINE HOTEL","4"
"Work shop","4"
"Yarehalli","4"
"Yeliyuru High School","4"
"Yettakki","4"
"karpoora,ANEKAL TALUK,IN FRONT OF SRI RAMA TEMPLE","4"
"8th Mile T Dasarahalli,8TH MILE,BESIDE PETROL BUNK","6"
"APPASANDRA","6"
"Adarsha Nagara,ADARSHA NAGARA,BESIDE OPEN AREA","6"
"Adikamaranahalli,IN FRONT OF MARAMMADEVI TEMPLE ARCH","6"
"Adur,ADUR,IN FRONT OF GOVERNMENT PRIMARY SCHOOL","6"
"Akkipete","6"
"Aladamara,KERECHUDA HALLI,BESIDE OPEN AREA","6"
"Alambadi,CHIKKA TIRUPATHI,OPPOSITE OF CANARA BANK","6"
"Ananda Rao Circle,NEHARU NAGARA,OPPOSITE TO GANESHA TEMPLE","6"
"Anantapura Gate,YELAHANKA,BESIDE RAMANASHREE CALIFORNIA RESORT","6"
"Anneshwara,BESIDE RESIDENTIAL AREA","6"
"Anugondanahalli,IN FRONT OF RAGI MACHIINE","6"
"Anugondanahalli,OPPOSITE OF GOVT. GENERAL HOSPITAL","6"
"Aralimarada Palya,IN FRONT OF WATER TANK","6"
"Are Binnamangala,AREBINNA MANGALA,BESIDE GOVT PRIMARY SCHOOL","6"
"Arehalli,IN FRONT OF ALADAMARA","6"
"Areneru,ANEKAL TALUKU,IN FRONT OF MILK PRODUCT CO-OPERATIVE SOCIETY","6"
"Arevesandra gate ,ARAVESANDRA,OPPOSITE OF PETTY SHOP","6"
"Atturu Hosakote,ATTUR,IN FRONT OF MILK DAIRY","6"
"Avalahalli Huskuru,SARJAPURA, HOBLI,OPPOSITE OF SHRI RENUKA YALLAMMA DEVI TEMPLE","6"
"BARAGUR","6"
"BASAPANPALYA,BASAPANPALYA,OPPOSITE OF DOOR NO 42","6"
"BELAGUMBA","6"
"BGS College Gate,GANGASANDRA,BESIDE OPEN AREA","6"
"Bairegowdana Palya Cross,IN FRONT OF WATER TANK","6"
"Banarahalli","6"
"Bandaiahana Palya,BEERAIYAN PALYA,BESIDE RESIDENTIAL AREA","6"
"Bande,BESIDE OPEN AREA","6"
"Banglow Sulikere Mysore Road,SULIKERE,IN FRONT OF ASHWATHA KATTE","6"
"Basammana Halli,BASAMMANAHALLI,BESIDE OPEN AREA","6"
"Basavanahalli,BASAVANAHALLI,IN FRONT OF GOVT. PRIMARY SCHOOL","6"
"Basavanapura Jalige,IN FRONT OF GOVT. MILK DAIRY","6"
"Bashatta Halli,IN FRONT OF GOVT.SCHOOL","6"
"Beguru,OPPOSITE OF LAKSHMI NARASIMHA TEMPLE","6"
"Bhakthana Palya,BHAKTANAPALYA,IN FRONT OF MARAMMA TEMPLE","6"
"Bhavapura","6"
"Bhovi Palya","6"
"Biana Palya,BAYANA PALYA,IN FRONT OF MATAJI STEEL MART","6"
"Bidaraguppa,BIDARAGUPPE,ATTIBELE HOBLI,BESIDE GOVT.PRIMARY SCHOOL","6"
"Bidarahalli cross","6"
"Big Market Sahakara Nagara","6"
"Bikkanahosahalli,SARJAPURA, HOBLI,OPPOSITE OF ESHWARA TEMPLE","6"
"Bireshwara Circle,SOUNDARYA LAYOUT,BESIDE FAMOUS BAKERY","6"
"Bokipura","6"
"Bolare,BOLARE,BESIDE KRISTA KARUNE TENT HOUSE","6"
"Bommachanna Halli Temple,KATAMANA DODDI,OPPOSITE OF RESIDENTIAL AREA","6"
"Bommachannahalli,BOMMACHANAHALLI,IN FRONT OF ANJANEYA TEMPLE","6"
"Bommandanahalli","6"
"Bommawara","6"
"Budihal Gate,BESIDE OPEN AREA","6"
"Buvana Halli ,BUVANAHALLI,OPPOSITE OF DODDAMMA,YELLAMMA,KAVERAMMA TEMPLE","6"
"Byramangala","6"
"Byrasandra,BYRASANDRA,IN FRONT OF ANJANEYA TEMPLE","6"
"CADBURYS FACTORY,IN FRONT OF CADBURYS FACTORY","6"
"CHALUVAIAHANPALYA","6"
"Chikka Dasarahalli,SARJAPURA & HOBLI ANEKAL TALUK,IN FRONT OF SHRI MUNESHWARA TEMPLE","6"
"Chikka Thimmasandra,ANEKAL TALUK,IN FRONT OF ASHWATHA KATTE & MILK PRODUCT CO-OPERATIVE SOCIETY","6"
"Chikka Tumakur","6"
"Chikkabanawara Railway Gate,CHIKKA BANAVARA,BESIDE OPEN AREA","6"
"Chikkalasandra AraliMara,CHIKKALASANDRA,OPPOSITE OF GOVT.MIDDLE SCHOOL","6"
"Chikkalonad,CHIKKA TANDA,IN FRONT OF BHAVYA ENTERPRISES","6"
"Chikkaluru Cross,CHIKKALLURU,IN FRONT OF FLAG MAST","6"
"Chikkamarana Halli Colony,CHIKKAMARANAHALLI COLONY,IN FRONT OF RESIDENTIAL","6"
"Chikkamaskal,OPPOSITE OF GOVERNMENT SCHOOL","6"
"Chikkanahalli","6"
"Chikkanahalli Gate","6"
"Chowdeshwari Temple Cross,ANEKAL TALUK,IN FRONT OF T.B.C.BRICKS FACTORY","6"
"Colony Mahadevana Doddi","6"
"DODDANALLURAHALLI","6"
"DODDATHAGGALI","6"
"DODDATHAGGALI CROSS","6"
"Dasarahalli","6"
